Timestamp,Latitude (Deg),Longitude (Deg),Heading (Deg),Inertial Altitude (ft),Pitch (Deg),Roll (Deg),East Velocity (m/s),North Velocity (m/s),Ground Speed (knots)
20:21:47.92,40.6618380568919,22.5879172806936,-97.27294921875,649.5984,0.087890625,0.1043701171875,-59.2578125,1.484375,115.15033651563
20:21:48.08,40.6618400685486,22.5878078968572,-97.305908203125,649.5984,-0.0439453125,0.087890625,-59.2421875,1.4765625,115.119613765979
20:21:48.24,40.6618424154815,22.5876875327276,-97.2894287109375,649.5984,-0.2032470703125,0.0164794921875,-59.203125,1.46875,115.043377133041
20:21:48.40,40.6618444271383,22.5875781488912,-97.27294921875,649.5984,-0.3460693359375,-0.076904296875,-59.1796875,1.46875,114.997861455686
20:21:48.56,40.661846438795,22.5874687650548,-97.2509765625,649.5984,-0.41748046875,-0.1922607421875,-59.1796875,1.421875,114.995638226464
20:21:48.72,40.6618485342708,22.5873594650375,-97.2674560546875,648.7782,-0.3515625,-0.28564453125,-59.171875,1.4140625,114.980102463038
20:21:48.89,40.6618507135657,22.587239268546,-97.2894287109375,648.7782,-0.362548828125,-0.3021240234375,-59.140625,1.40625,114.91905178024
20:21:49.04,40.6618604365733,22.5871345785754,-97.305908203125,648.7782,-0.37353515625,-0.2911376953125,-59.140625,1.40625,114.91905178024
20:21:49.21,40.6618624482301,22.587025278558,-97.31689453125,648.7782,-0.3515625,-0.252685546875,-59.1484375,1.3828125,114.933150908358
20:21:49.36,40.6618643760678,22.5869160623597,-97.36083984375,648.7782,-0.340576171875,-0.252685546875,-59.15625,1.375,114.947969662682
20:21:49.53,40.6618664715436,22.5867958658682,-97.3883056640625,647.958,-0.4339599609375,-0.274658203125,-59.125,1.359375,114.886578125
20:21:49.68,40.6618683993814,22.5866866496699,-97.4102783203125,647.958,-0.4998779296875,-0.362548828125,-59.1015625,1.3515625,114.840712494863
20:21:49.85,40.6618702434001,22.5865774334715,-97.4267578125,647.958,-0.5548095703125,-0.516357421875,-59.09375,1.3203125,114.82416785894
20:21:50.00,40.6618769489226,22.5864683010922,-97.437744140625,647.958,-0.5712890625,-0.6976318359375,-59.1015625,1.2734375,114.83734298599
